year	week
1977	10
1977	11
1977	12
1977	13
1977	14
1977	15
1977	16
1977	17
1977	18
1977	19
1977	20
1977	21
1977	22
1977	23
1977	24
1977	25
1977	26
1977	27
1977	28
1977	29
1977	30
1977	31
1977	32
1977	33
1977	34
1977	35
1977	36
1977	37
1977	38
1977	39
1977	40
1977	41
1977	42
1977	43
1977	44
1977	45
1977	46
1977	47
1977	48
1977	49
1977	50
1977	51
1977	52
1978	1
1978	2
1978	3
1978	4
1978	5
1978	6
1978	7
1978	8
1978	9
1978	10
1978	11
1978	12
1978	13
1978	14
1978	15
1978	16
1978	17
1978	18
1978	19
1978	20
1978	21
1978	22
1978	23
1978	24
1978	25
1978	26
1978	27
1978	28
1978	29
1978	30
1978	31
1978	32
1978	33
1978	34
1978	35
1978	36
1978	37
1978	38
1978	39
1978	40
1978	41
1978	42
1978	43
1978	44
1978	45
1978	46
1978	47
1978	48
1978	49
1978	50
1978	51
1978	52
1979	1
1979	2
1979	3
1979	4
1979	5
1979	6
1979	7
1979	8
1979	9
1979	10
1979	11
1979	12
1979	13
1979	14
1979	15
1979	16
1979	17
1979	18
1979	19
1979	20
1979	21
1979	22
1979	23
1979	24
1979	25
1979	26
1979	27
1979	28
1979	29
1979	30
1979	31
1979	32
1979	33
1979	34
1979	35
1979	36
1979	37
1979	38
1979	39
1979	40
1979	41
1979	42
1979	43
1979	44
1979	45
1979	46
1979	47
1979	48
1979	49
1979	50
1979	51
1979	52
1980	1
1980	2
1980	3
1980	4
1980	5
1980	6
1980	7
1980	8
1980	9
1980	10
1980	11
1980	12
1980	13
1980	14
1980	15
1980	16
1980	17
1980	18
1980	19
1980	20
1980	21
1980	22
1980	23
1980	24
1980	25
1980	26
1980	27
1980	28
1980	29
1980	30
1980	31
1980	32
1980	33
1980	34
1980	35
1980	36
1980	37
1980	38
1980	39
1980	40
1980	41
1980	42
1980	43
1980	44
1980	45
1980	46
1980	47
1980	48
1980	49
1980	50
1980	51
1980	52
1981	1
1981	2
1981	3
1981	4
1981	5
1981	6
1981	7
1981	8
1981	9
1981	10
1981	11
1981	12
1981	13
1981	14
1981	15
1981	16
1981	17
1981	18
1981	19
1981	20
1981	21
1981	22
1981	23
1981	24
1981	25
1981	26
1981	27
1981	28
1981	29
1981	30
1981	31
1981	32
1981	33
1981	34
1981	35
1981	36
1981	37
1981	38
1981	39
1981	40
1981	41
1981	42
1981	43
1981	44
1981	45
1981	46
1981	47
1981	48
1981	49
1981	50
1981	51
1981	52
1981	53
1982	1
1982	2
1982	3
1982	4
1982	5
1982	6
1982	7
1982	8
1982	9
1982	10
1982	11
1982	12
1982	13
1982	14
1982	15
1982	16
1982	17
1982	18
1982	19
1982	20
1982	21
1982	22
1982	23
1982	24
1982	25
1982	26
1982	27
1982	28
1982	29
1982	30
1982	31
1982	32
1982	33
1982	34
1982	35
1982	36
1982	37
1982	38
1982	39
1982	40
1982	41
1982	42
1982	43
1982	44
1982	45
1982	46
1982	47
1982	48
1982	49
1982	50
1982	51
1982	52
1983	1
1983	2
1983	3
1983	4
1983	5
1983	6
1983	7
1983	8
1983	9
1983	10
1983	11
1983	12
1983	13
1983	14
1983	15
1983	16
1983	17
1983	18
1983	19
1983	20
1983	21
1983	22
1983	23
1983	24
1983	25
1983	26
1983	27
1983	28
1983	29
1983	30
1983	31
1983	32
1983	33
1983	34
1983	35
1983	36
1983	37
1983	38
1983	39
1983	40
1983	41
1983	42
1983	43
1983	44
1983	45
1983	46
1983	47
1983	48
1983	49
1983	50
1983	51
1983	52
1984	1
1984	2
1984	3
1984	4
1984	5
1984	6
1984	7
1984	8
1984	9
1984	10
1984	11
1984	12
1984	13
1984	14
1984	15
1984	16
1984	17
1984	18
1984	19
1984	20
1984	21
1984	22
1984	23
1984	24
1984	25
1984	26
1984	27
1984	28
1984	29
1984	30
1984	31
1984	32
1984	33
1984	34
1984	35
1984	36
1984	37
1984	38
1984	39
1984	40
1984	41
1984	42
1984	43
1984	44
1984	45
1984	46
1984	47
1984	48
1984	49
1984	50
1984	51
1984	52
1985	1
1985	2
1985	3
1985	4
1985	5
1985	6
1985	7
1985	8
1985	9
1985	10
1985	11
1985	12
1985	13
1985	14
1985	15
1985	16
1985	17
1985	18
1985	19
1985	20
1985	21
1985	22
1985	23
1985	24
1985	25
1985	26
1985	27
1985	28
1985	29
1985	30
1985	31
1985	32
1985	33
1985	34
1985	35
1985	36
1985	37
1985	38
1985	39
1985	40
1985	41
1985	42
1985	43
1985	44
1985	45
1985	46
1985	47
1985	48
1985	49
1985	50
1985	51
1985	52
1986	1
1986	2
1986	3
1986	4
1986	5
1986	6
1986	7
1986	8
1986	9
1986	10
1986	11
1986	12
1986	13
1986	14
1986	15
1986	16
1986	17
1986	18
1986	19
1986	20
1986	21
1986	22
1986	23
1986	24
1986	25
1986	26
1986	27
1986	28
1986	29
1986	30
1986	31
1986	32
1986	33
1986	34
1986	35
1986	36
1986	37
1986	38
1986	39
1986	40
1986	41
1986	42
1986	43
1986	44
1986	45
1986	46
1986	47
1986	48
1986	49
1986	50
1986	51
1986	52
1987	1
1987	2
1987	3
1987	4
1987	5
1987	6
1987	7
1987	8
1987	9
1987	10
1987	11
1987	12
1987	13
1987	14
1987	15
1987	16
1987	17
1987	18
1987	19
1987	20
1987	21
1987	22
1987	23
1987	24
1987	25
1987	26
1987	27
1987	28
1987	29
1987	30
1987	31
1987	32
1987	33
1987	34
1987	35
1987	36
1987	37
1987	38
1987	39
1987	40
1987	41
1987	42
1987	43
1987	44
1987	45
1987	46
1987	47
1987	48
1987	49
1987	50
1987	51
1987	52
1987	53
1988	1
1988	2
1988	3
1988	4
1988	5
1988	6
1988	7
1988	8
1988	9
1988	10
1988	11
1988	12
1988	13
1988	14
1988	15
1988	16
1988	17
1988	18
1988	19
1988	20
1988	21
1988	22
1988	23
1988	24
1988	25
1988	26
1988	27
1988	28
1988	29
1988	30
1988	31
1988	32
1988	33
1988	34
1988	35
1988	36
1988	37
1988	38
1988	39
1988	40
1988	41
1988	42
1988	43
1988	44
1988	45
1988	46
1988	47
1988	48
1988	49
1988	50
1988	51
1988	52
1989	1
1989	2
1989	3
1989	4
1989	5
1989	6
1989	7
1989	8
1989	9
1989	10
1989	11
1989	12
1989	13
1989	14
1989	15
1989	16
1989	17
1989	18
1989	19
1989	20
1989	21
1989	22
1989	23
1989	24
1989	25
1989	26
1989	27
1989	28
1989	29
1989	30
1989	31
1989	32
1989	33
1989	34
1989	35
1989	36
1989	37
1989	38
1989	39
1989	40
1989	41
1989	42
1989	43
1989	44
1989	45
1989	46
1989	47
1989	48
1989	49
1989	50
1989	51
1989	52
1990	1
1990	2
1990	3
1990	4
1990	5
1990	6
1990	7
1990	8
1990	9
1990	10
1990	11
1990	12
1990	13
1990	14
1990	15
1990	16
1990	17
1990	18
1990	19
1990	20
1990	21
1990	22
1990	23
1990	24
1990	25
1990	26
1990	27
1990	28
1990	29
1990	30
1990	31
1990	32
1990	33
1990	34
1990	35
1990	36
1990	37
1990	38
1990	39
1990	40
1990	41
1990	42
1990	43
1990	44
1990	45
1990	46
1990	47
1990	48
1990	49
1990	50
1990	51
1990	52
1991	1
1991	2
1991	3
1991	4
1991	5
1991	6
1991	7
1991	8
1991	9
1991	10
1991	11
1991	12
1991	13
1991	14
1991	15
1991	16
1991	17
1991	18
1991	19
1991	20
1991	21
1991	22
1991	23
1991	24
1991	25
1991	26
1991	27
1991	28
1991	29
1991	30
1991	31
1991	32
1991	33
1991	34
1991	35
1991	36
1991	37
1991	38
1991	39
1991	40
1991	41
1991	42
1991	43
1991	44
1991	45
1991	46
1991	47
1991	48
1991	49
1991	50
1991	51
1991	52
1992	1
1992	2
1992	3
1992	4
1992	5
1992	6
1992	7
1992	8
1992	9
1992	10
1992	11
1992	12
1992	13
1992	14
1992	15
1992	16
1992	17
1992	18
1992	19
1992	20
1992	21
1992	22
1992	23
1992	24
1992	25
1992	26
1992	27
1992	28
1992	29
1992	30
1992	31
1992	32
1992	33
1992	34
1992	35
1992	36
1992	37
1992	38
1992	39
1992	40
1992	41
1992	42
1992	43
1992	44
1992	45
1992	46
1992	47
1992	48
1992	49
1992	50
1992	51
1992	52
1992	53
1993	1
1993	2
1993	3
1993	4
1993	5
1993	6
1993	7
1993	8
1993	9
1993	10
1993	11
1993	12
1993	13
1993	14
1993	15
1993	16
1993	17
1993	18
1993	19
1993	20
1993	21
1993	22
1993	23
1993	24
1993	25
1993	26
1993	27
1993	28
1993	29
1993	30
1993	31
1993	32
1993	33
1993	34
1993	35
1993	36
1993	37
1993	38
1993	39
1993	40
1993	41
1993	42
1993	43
1993	44
1993	45
1993	46
1993	47
1993	48
1993	49
1993	50
1993	51
1993	52
1994	1
1994	2
1994	3
1994	4
1994	5
1994	6
1994	7
1994	8
1994	9
1994	10
1994	11
1994	12
1994	13
1994	14
1994	15
1994	16
1994	17
1994	18
1994	19
1994	20
1994	21
1994	22
1994	23
1994	24
1994	25
1994	26
1994	27
1994	28
1994	29
1994	30
1994	31
1994	32
1994	33
1994	34
1994	35
1994	36
1994	37
1994	38
1994	39
1994	40
1994	41
1994	42
1994	43
1994	44
1994	45
1994	46
1994	47
1994	48
1994	49
1994	50
1994	51
1994	52
1995	1
1995	2
1995	3
1995	4
1995	5
1995	6
1995	7
1995	8
1995	9
1995	10
1995	11
1995	12
1995	13
1995	14
1995	15
1995	16
1995	17
1995	18
1995	19
1995	20
1995	21
1995	22
1995	23
1995	24
1995	25
1995	26
1995	27
1995	28
1995	29
1995	30
1995	31
1995	32
1995	33
1995	34
1995	35
1995	36
1995	37
1995	38
1995	39
1995	40
1995	41
1995	42
1995	43
1995	44
1995	45
1995	46
1995	47
1995	48
1995	49
1995	50
1995	51
1995	52
1996	1
1996	2
1996	3
1996	4
1996	5
1996	6
1996	7
1996	8
1996	9
1996	10
1996	11
1996	12
1996	13
1996	14
1996	15
1996	16
1996	17
1996	18
1996	19
1996	20
1996	21
1996	22
1996	23
1996	24
1996	25
1996	26
1996	27
1996	28
1996	29
1996	30
1996	31
1996	32
1996	33
1996	34
1996	35
1996	36
1996	37
1996	38
1996	39
1996	40
1996	41
1996	42
1996	43
1996	44
1996	45
1996	46
1996	47
1996	48
1996	49
1996	50
1996	51
1996	52
1997	1
1997	2
1997	3
1997	4
1997	5
1997	6
1997	7
1997	8
1997	9
1997	10
1997	11
1997	12
1997	13
1997	14
1997	15
1997	16
1997	17
1997	18
1997	19
1997	20
1997	21
1997	22
1997	23
1997	24
1997	25
1997	26
1997	27
1997	28
1997	29
1997	30
1997	31
1997	32
1997	33
1997	34
1997	35
1997	36
1997	37
1997	38
1997	39
1997	40
1997	41
1997	42
1997	43
1997	44
1997	45
1997	46
1997	47
1997	48
1997	49
1997	50
1997	51
1997	52
1998	1
1998	2
1998	3
1998	4
1998	5
1998	6
1998	7
1998	8
1998	9
1998	10
1998	11
1998	12
1998	13
1998	14
1998	15
1998	16
1998	17
1998	18
1998	19
1998	20
1998	21
1998	22
1998	23
1998	24
1998	25
1998	26
1998	27
1998	28
1998	29
1998	30
1998	31
1998	32
1998	33
1998	34
1998	35
1998	36
1998	37
1998	38
1998	39
1998	40
1998	41
1998	42
1998	43
1998	44
1998	45
1998	46
1998	47
1998	48
1998	49
1998	50
1998	51
1998	52
1998	53
1999	1
1999	2
1999	3
1999	4
1999	5
1999	6
1999	7
1999	8
1999	9
1999	10
1999	11
1999	12
1999	13
1999	14
1999	15
1999	16
1999	17
1999	18
1999	19
1999	20
1999	21
1999	22
1999	23
1999	24
1999	25
1999	26
1999	27
1999	28
1999	29
1999	30
1999	31
1999	32
1999	33
1999	34
1999	35
1999	36
1999	37
1999	38
1999	39
1999	40
1999	41
1999	42
1999	43
1999	44
1999	45
1999	46
1999	47
1999	48
1999	49
1999	50
1999	51
1999	52
2000	1
2000	2
2000	3
2000	4
2000	5
2000	6
2000	7
2000	8
2000	9
2000	10
2000	11
2000	12
2000	13
2000	14
2000	15
2000	16
2000	17
2000	18
2000	19
2000	20
2000	21
2000	22
2000	23
2000	24
2000	25
2000	26
2000	27
2000	28
2000	29
2000	30
2000	31
2000	32
2000	33
2000	34
2000	35
2000	36
2000	37
2000	38
2000	39
2000	40
2000	41
2000	42
2000	43
2000	44
2000	45
2000	46
2000	47
2000	48
2000	49
2000	50
2000	51
2000	52
2001	1
2001	2
2001	3
2001	4
2001	5
2001	6
2001	7
2001	8
2001	9
2001	10
2001	11
2001	12
2001	13
2001	14
2001	15
2001	16
2001	17
2001	18
2001	19
2001	20
2001	21
2001	22
2001	23
2001	24
2001	25
2001	26
2001	27
2001	28
2001	29
2001	30
2001	31
2001	32
2001	33
2001	34
2001	35
2001	36
2001	37
2001	38
2001	39
2001	40
2001	41
2001	42
2001	43
2001	44
2001	45
2001	46
2001	47
2001	48
2001	49
2001	50
2001	51
2001	52
2002	1
2002	2
2002	3
2002	4
2002	5
2002	6
2002	7
2002	8
2002	9
2002	10
2002	11
2002	12
2002	13
2002	14
2002	15
2002	16
2002	17
2002	18
2002	19
2002	20
2002	21
2002	22
2002	23
2002	24
2002	25
2002	26
2002	27
2002	28
2002	29
2002	30
2002	31
2002	32
2002	33
2002	34
2002	35
2002	36
2002	37
2002	38
2002	39
2002	40
2002	41
2002	42
2002	43
2002	44
2002	45
2002	46
2002	47
2002	48
2002	49
2002	50
2002	51
2002	52
2003	1
2003	2
2003	3
2003	4
2003	5
2003	6
2003	7
2003	8
2003	9
2003	10
2003	11
2003	12
2003	13
2003	14
2003	15
2003	16
2003	17
2003	18
2003	19
2003	20
2003	21
2003	22
2003	23
2003	24
2003	25
2003	26
2003	27
2003	28
2003	29
2003	30
2003	31
2003	32
2003	33
2003	34
2003	35
2003	36
2003	37
2003	38
2003	39
2003	40
2003	41
2003	42
2003	43
2003	44
2003	45
2003	46
2003	47
2003	48
2003	49
2003	50
2003	51
2003	52
2004	1
2004	2
2004	3
2004	4
2004	5
2004	6
2004	7
2004	8
2004	9
2004	10
2004	11
2004	12
2004	13
2004	14
2004	15
2004	16
2004	17
2004	18
2004	19
2004	20
2004	21
2004	22
2004	23
2004	24
2004	25
2004	26
2004	27
2004	28
2004	29
2004	30
2004	31
2004	32
2004	33
2004	34
2004	35
2004	36
2004	37
2004	38
2004	39
2004	40
2004	41
2004	42
2004	43
2004	44
2004	45
2004	46
2004	47
2004	48
2004	49
2004	50
2004	51
2004	52
2004	53
2005	1
2005	2
2005	3
2005	4
2005	5
2005	6
2005	7
2005	8
2005	9
2005	10
2005	11
2005	12
2005	13
2005	14
2005	15
2005	16
2005	17
2005	18
2005	19
2005	20
2005	21
2005	22
2005	23
2005	24
2005	25
2005	26
2005	27
2005	28
2005	29
2005	30
2005	31
2005	32
2005	33
2005	34
2005	35
2005	36
2005	37
2005	38
2005	39
2005	40
2005	41
2005	42
2005	43
2005	44
2005	45
2005	46
2005	47
2005	48
2005	49
2005	50
2005	51
2005	52
2006	1
2006	2
2006	3
2006	4
2006	5
2006	6
2006	7
2006	8
2006	9
2006	10
2006	11
2006	12
2006	13
2006	14
2006	15
2006	16
2006	17
2006	18
2006	19
2006	20
2006	21
2006	22
2006	23
2006	24
2006	25
2006	26
2006	27
2006	28
2006	29
2006	30
2006	31
2006	32
2006	33
2006	34
2006	35
2006	36
2006	37
2006	38
2006	39
2006	40
2006	41
2006	42
2006	43
2006	44
2006	45
2006	46
2006	47
2006	48
2006	49
2006	50
2006	51
2006	52
2007	1
2007	2
2007	3
2007	4
2007	5
2007	6
2007	7
2007	8
2007	9
2007	10
2007	11
2007	12
2007	13
2007	14
2007	15
2007	16
2007	17
2007	18
2007	19
2007	20
2007	21
2007	22
2007	23
2007	24
2007	25
2007	26
2007	27
2007	28
2007	29
2007	30
2007	31
2007	32
2007	33
2007	34
2007	35
2007	36
2007	37
2007	38
2007	39
2007	40
2007	41
2007	42
2007	43
2007	44
2007	45
2007	46
2007	47
2007	48
2007	49
2007	50
2007	51
2007	52
2008	1
2008	2
2008	3
2008	4
2008	5
2008	6
2008	7
2008	8
2008	9
2008	10
2008	11
2008	12
2008	13
2008	14
2008	15
2008	16
2008	17
2008	18
2008	19
2008	20
2008	21
2008	22
2008	23
2008	24
2008	25
2008	26
2008	27
2008	28
2008	29
2008	30
2008	31
2008	32
2008	33
2008	34
2008	35
2008	36
2008	37
2008	38
2008	39
2008	40
2008	41
2008	42
2008	43
2008	44
2008	45
2008	46
2008	47
2008	48
2008	49
2008	50
2008	51
2008	52
2009	1
2009	2
2009	3
2009	4
2009	5
2009	6
2009	7
2009	8
2009	9
2009	10
2009	11
2009	12
2009	13
2009	14
2009	15
2009	16
2009	17
2009	18
2009	19
2009	20
2009	21
2009	22
2009	23
2009	24
2009	25
2009	26
2009	27
2009	28
2009	29
2009	30
2009	31
2009	32
2009	33
2009	34
2009	35
2009	36
2009	37
2009	38
2009	39
2009	40
2009	41
2009	42
2009	43
2009	44
2009	45
2009	46
2009	47
2009	48
2009	49
2009	50
2009	51
2009	52
2009	53
2010	1
2010	2
2010	3
2010	4
2010	5
2010	6
2010	7
2010	8
2010	9
2010	10
2010	11
2010	12
2010	13
2010	14
2010	15
2010	16
2010	17
2010	18
2010	19
2010	20
2010	21
2010	22
2010	23
2010	24
2010	25
2010	26
2010	27
2010	28
2010	29
2010	30
2010	31
2010	32
2010	33
2010	34
2010	35
2010	36
2010	37
2010	38
2010	39
2010	40
2010	41
2010	42
2010	43
2010	44
2010	45
2010	46
2010	47
2010	48
2010	49
2010	50
2010	51
2010	52
2011	1
2011	2
2011	3
2011	4
2011	5
2011	6
2011	7
2011	8
2011	9
2011	10
2011	11
2011	12
2011	13
2011	14
2011	15
2011	16
2011	17
2011	18
2011	19
2011	20
2011	21
2011	22
2011	23
2011	24
2011	25
2011	26
2011	27
2011	28
2011	29
2011	30
2011	31
2011	32
2011	33
2011	34
2011	35
2011	36
2011	37
2011	38
2011	39
2011	40
2011	41
2011	42
2011	43
2011	44
2011	45
2011	46
2011	47
2011	48
2011	49
2011	50
2011	51
2011	52
2012	1
2012	2
2012	3
2012	4
2012	5
2012	6
2012	7
2012	8
2012	9
2012	10
2012	11
2012	12
2012	13
2012	14
2012	15
2012	16
2012	17
2012	18
2012	19
2012	20
2012	21
2012	22
2012	23
2012	24
2012	25
2012	26
2012	27
2012	28
2012	29
2012	30
2012	31
2012	32
2012	33
2012	34
2012	35
2012	36
2012	37
2012	38
2012	39
2012	40
2012	41
2012	42
2012	43
2012	44
2012	45
2012	46
2012	47
2012	48
2012	49
2012	50
2012	51
2012	52
2013	1
2013	2
2013	3
2013	4
2013	5
2013	6
2013	7
2013	8
2013	9
2013	10
2013	11
2013	12
2013	13
2013	14
2013	15
2013	16
2013	17
2013	18
2013	19
2013	20
2013	21
2013	22
2013	23
2013	24
2013	25
2013	26
2013	27
2013	28
2013	29
2013	30
2013	31
2013	32
2013	33
2013	34
2013	35
2013	36
2013	37
2013	38
2013	39
2013	40
2013	41
2013	42
2013	43
2013	44
2013	45
2013	46
2013	47
2013	48
2013	49
2013	50
2013	51
2013	52
2014	1
2014	2
2014	3
2014	4
2014	5
2014	6
2014	7
2014	8
2014	9
2014	10
2014	11
2014	12
2014	13
2014	14
2014	15
2014	16
2014	17
2014	18
2014	19
2014	20
2014	21
2014	22
2014	23
2014	24
2014	25
2014	26
2014	27
2014	28
2014	29
2014	30
2014	31
2014	32
2014	33
